"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Jordan Addison","MIN","WR37","2.7","37.1","0.4","55.2","758.4","5.4","0.2","113.7"
"Sam LaPorta","DET","TE8","0.0","0.0","0.0","70.4","813.9","5.5","0.2","113.7"
"Carnell Tate","TEN","WR38","0.7","3.0","0.0","65.2","887.6","4.5","1.4","113.3"
"Jayden Reed","GB","WR39","12.0","86.9","0.1","63.1","757.7","4.8","0.4","113.2"
"Harold Fannin Jr.","CLE","TE9","0.0","0.0","0.0","78.7","816.3","5.4","0.8","112.5"
"Xavier Worthy","KC","WR40","15.5","99.4","0.9","55.2","722.7","4.2","0.2","112.4"
"Deebo Samuel Sr.","SF","WR41","29.1","111.7","1.1","58.3","666.2","4.5","0.4","110.5"
"Jakobi Meyers","JAC","WR42","4.3","22.7","0.1","68.3","787.7","5.1","0.8","110.4"
"Michael Pittman Jr.","PIT","WR43","0.0","0.0","0.0","80.5","806.1","5.0","0.3","109.8"
"George Kittle","SF","TE10","0.0","0.0","0.0","66.3","753.4","5.7","0.2","109.4"
"Michael Wilson","ARI","WR44","0.0","0.7","0.0","67.5","826.4","4.5","0.2","109.1"
"Matthew Golden","GB","WR45","8.2","40.9","0.1","56.8","787.0","4.3","0.4","108.6"
"Chris Godwin Jr.","TB","WR46","0.3","0.3","0.0","67.8","773.9","5.2","0.3","107.9"
"Mark Andrews","BAL","TE11","0.0","0.0","0.0","59.7","618.5","7.7","0.3","107.5"
"Travis Kelce","KC","TE12","0.0","0.0","0.0","74.9","785.7","4.8","0.3","107.1"
"Rashid Shaheed","SEA","WR47","13.4","88.9","0.3","49.9","755.3","3.8","0.8","106.8"
"Zach Charbonnet","SEA","RB42","130.5","533.0","5.6","19.8","147.0","0.5","0.7","103.3"
"Dalton Kincaid","BUF","TE13","0.0","0.0","0.0","57.1","706.8","5.5","0.2","103.1"
"Isaiah Likely","NYG","TE14","0.0","0.0","0.0","62.8","745.2","5.0","1.3","102.2"
"Calvin Ridley","TEN","WR48","4.5","27.6","0.6","46.7","762.4","3.2","0.2","101.5"
"Romeo Doubs","NE","WR49","0.0","0.0","0.0","55.2","712.3","5.1","0.3","101.3"
"Wan'Dale Robinson","TEN","WR50","2.0","9.5","0.1","79.9","805.9","3.3","0.3","101.2"
"Woody Marks","HOU","RB43","142.7","555.8","2.7","24.1","197.4","1.8","0.8","100.3"
"De'Zhaun Stribling","SF","WR51","1.5","6.5","0.0","51.3","751.6","4.5","1.2","100.1"
"KC Concepcion","CLE","WR52","4.2","22.5","0.1","60.1","779.1","3.6","1.3","99.6"
"Stefon Diggs","WAS","WR53","0.3","0.7","0.0","67.0","747.5","4.2","0.2","99.2"
"Makai Lemon","PHI","WR54","1.5","6.5","0.0","52.8","738.2","4.4","1.3","98.1"
"Josh Downs","IND","WR55","1.4","4.2","0.0","71.5","731.6","4.2","0.8","97.6"
"Keenan Allen","IND","WR56","0.0","0.0","0.0","62.0","675.0","5.0","0.0","97.5"
"Jalen Coker","CAR","WR57","0.0","0.0","0.0","60.7","717.5","4.5","0.8","97.0"
"Alvin Kamara","NO","RB44","128.2","493.7","2.8","35.0","244.2","1.3","0.8","96.7"
"Rashod Bateman","BAL","WR58","0.0","0.0","0.0","38.8","598.6","6.0","0.2","95.4"
"Khalil Shakir","BUF","WR59","1.1","5.5","0.0","69.7","726.3","3.9","0.8","95.2"
"Isiah Pacheco","DET","RB45","139.5","581.8","3.5","21.1","136.4","0.6","0.8","94.9"
"Hunter Henry","NE","TE15","0.0","0.0","0.0","55.6","645.2","5.1","0.1","94.8"
"Jake Ferguson","DAL","TE16","0.0","0.0","0.0","73.9","606.4","5.9","1.4","93.5"
